property_id,address_id,property_type_id,bedrooms,bathrooms,square_feet,year_built,description,owner_client_id
91,121,3,4,3.5,996,1970,Beautiful 4-bedroom unit with stainless steel appliances and granite countertops.,28
92,122,5,0,1.0,3232,1951,Stunning property with panoramic views and premium finishes throughout,98
93,123,5,1,2.5,2408,1962,Stunning property with panoramic views and premium finishes throughout,19
94,124,2,4,3.0,1929,1934,property with modern amenities and great natural light,46
95,125,2,4,3.5,629,1942,Beautiful 4-bedroom unit with stainless steel appliances and granite countertops.,96
96,126,1,3,4.5,3465,1985,Renovated unit with stainless steel appliances and granite countertops,79
97,127,1,5,5.0,2970,1978,property with modern amenities and great natural light,62
98,128,4,3,1.5,4516,2011,property with modern amenities and great natural light,
99,129,3,4,2.0,1038,1936,Spacious 1038 sq ft unit with stainless steel appliances and granite countertops.,
100,130,5,2,4.5,4641,1997,Beautiful 2-bedroom property with panoramic views and premium finishes throughout.,
