appointment_id,appointment_type_id,appointment_datetime,listing_id,client_id,appointment_outcome_id,notes
78,4,2025-11-14 05:26:01,60,56,,Outcome pending or appointment not yet complete.
79,3,2025-11-14 05:27:15,42,32,,Outcome pending or appointment not yet complete.
80,1,2025-11-14 05:23:06,36,58,4,Requires follow-up on financing.
81,4,2025-11-14 05:26:16,44,4,3,"Client loved the property, drafting an offer."
82,2,2025-11-14 05:25:47,63,28,3,"Client loved the property, drafting an offer."
83,3,2025-11-14 05:27:52,36,77,3,"Client loved the property, drafting an offer."
84,1,2025-11-14 05:23:42,67,25,4,Requires follow-up on financing.
85,4,2025-11-14 05:28:31,72,98,4,Requires follow-up on financing.
86,4,2025-11-14 05:23:14,58,3,2,"No show, attempting to reschedule."
87,4,2025-11-14 05:23:52,89,32,3,"Client loved the property, drafting an offer."
88,4,2025-11-14 05:26:20,71,68,3,"Client loved the property, drafting an offer."
89,3,2025-11-14 05:26:49,90,59,3,"Client loved the property, drafting an offer."
90,2,2025-11-14 05:24:10,16,93,1,"Client attended, gathering feedback."
91,2,2025-11-14 05:23:29,25,28,3,"Client loved the property, drafting an offer."
92,3,2025-11-14 05:28:06,13,25,3,"Client loved the property, drafting an offer."
93,2,2025-11-14 05:24:14,39,2,2,"No show, attempting to reschedule."
94,3,2025-11-14 05:26:20,6,7,2,"No show, attempting to reschedule."
95,4,2025-11-14 05:26:28,14,2,4,Requires follow-up on financing.
96,4,2025-11-14 05:25:16,57,44,1,"Client attended, gathering feedback."
97,3,2025-11-14 05:26:16,62,15,,Outcome pending or appointment not yet complete.
98,4,2025-11-14 05:25:54,63,10,1,"Client attended, gathering feedback."
99,2,2025-11-14 05:28:22,20,73,,Outcome pending or appointment not yet complete.
100,1,2025-11-14 05:23:59,32,16,4,Requires follow-up on financing.
